Analytical HPLC equipment,Karolinska Institutet,2019-09-18,"2019-10-10
Om 19 dagar"
Gestaltningsuppdrag Bårhus by 59 NSM,"Region Skåne, Regionfastigheter",2019-09-18,"2019-10-15
Om 24 dagar"
Kontrastmedelsinjektor,Gävleborgs läns landsting,2019-09-18,"2019-10-14
Om 23 dagar"
Leasing av person- och transportbilar,Höglandsförbundet,2019-09-18,"2019-10-18
Om 27 dagar"
Sanering av skadedjur m.m. inom Kopparstaden fastighetsbestånd,Kopparstaden AB,2019-09-18,"2019-10-15
Om 24 dagar"
Femtosecond Laser system,Göteborgs universitet,2019-09-18,"2019-10-21
Om 30 dagar"
Byggmaterial Tidaholms kommun,Skövde kommun,2019-09-18,"2019-10-28
Om 37 dagar"
Flisning och omhändertagande av trä,Ljungby kommun,2019-09-18,"2019-10-18
Om 27 dagar"
4304/19 Ramavtal Seniora byggledare,Göteborgs stad Trafikkontoret,2019-09-18,"2019-10-24
Om 33 dagar"
Flemingsberg Byte Värmesystem,Huge Bostäder AB,2019-09-18,"2019-10-21
Om 30 dagar"
"Anbud ramavtal städning, Lycksele Bostäder AB",Lycksele Bostäder AB,2019-09-18,"2019-10-15
Om 24 dagar"
Lokalvård Hallands Hamnar,Hallands Hamnar Halmstad AB,2019-09-18,"2019-10-06
Om 15 dagar"
Ramavtal Tak- och plåtarbeten,AB Kristianstadsbyggen,2019-09-18,"2019-10-21 23:59
Om 30 dagar"
Upphandling om ramavtal Ventilationsarbeten och planerade filterbyten,Stockholm Globe Arena Fastigheter AB,2019-09-18,"2019-10-21
Om 30 dagar"
Ajourhållning av Teknisk Handbok,Göteborgs stad Trafikkontoret,2019-09-18,"2019-10-18
Om 27 dagar"
Aerosol elemental composition monitor,Lunds universitet,2019-09-18,"2019-10-18
Om 27 dagar"
Ärende- och beslutsstöd,Boverket,2019-09-18,"2019-10-21
Om 30 dagar"
Upphandling av läkartjänster för dyk- och flygmedicinska undersökningar,Kustbevakningen,2019-09-18,"2019-10-09
Om 18 dagar"
Tvättjänster till brukare och personal inom hemtjänsten,Ystads Kommun,2019-09-18,"2019-10-21
Om 30 dagar"
Midjestyrd redskapsbärare till Stadshagens IP,"Stockholms stad, Idrottsförvaltningen",2019-09-18,"2019-10-23
Om 32 dagar"
Midjestyrd redskapsbärare till Hammarby IP Kanalplan,"Stockholms stad, Idrottsförvaltningen",2019-09-18,"2019-10-23
Om 32 dagar"
5560/19 Ramavtal resursstöd trafikanordningskartverk,Göteborgs stad Trafikkontoret,2019-09-18,"2019-10-28
Om 37 dagar"
Konsultuppdrag - installationer av solceller,"Göteborgs Stad, Lokalförvaltningen",2019-09-18,"2019-10-15
Om 24 dagar"
"Kv Svalan, Ombyggnad av kontorslokal",Burlövs Bostäder AB,2019-09-18,"2019-10-15
Om 24 dagar"
Upphandling av podcasttjänster,SVENSKA ESF-RÅDET,2019-09-18,"2019-10-24
Om 33 dagar"
Redskapsbärare till Stora Mossens IP,"Stockholms stad, Idrottsförvaltningen",2019-09-18,"2019-10-28
Om 37 dagar"
Lärartjänst avseende handledning i kursen LT200x,Kungliga Tekniska högskolan,2019-09-18,"2019-10-06
Om 15 dagar"
Byggservice Höörs Fastighetsaktiebolag,Höörs Fastighetsaktiebolag,2019-09-18,"2019-10-18
Om 27 dagar"
Elservice Höörs Fastighetsaktiebolag,Höörs Fastighetsaktiebolag,2019-09-18,"2019-10-18
Om 27 dagar"
Ventilationsservice Höörs Fastighetsaktiebolag,Höörs Fastighetsaktiebolag,2019-09-18,"2019-10-18
Om 27 dagar"
Ersättningsetablering enligt lag om läkarvårdsersättning,Jönköpings läns landsting,2019-09-18,"2019-11-13
Om 53 dagar"
Måleriservice Höörs Fastighetsaktiebolag,Höörs Fastighetsaktiebolag,2019-09-18,"2019-10-18
Om 27 dagar"
RFI- Request For Information gällande Marknad för digitala vårdmöten,Stockholms läns landsting,2019-09-18,"2019-10-21
Om 30 dagar"
Storköksservice Höörs Fastighetsaktiebolag,Höörs Fastighetsaktiebolag,2019-09-18,"2019-10-18
Om 27 dagar"
Rör och VS-service Höörs Fastighetsaktiebolag,Höörs Fastighetsaktiebolag,2019-09-18,"2019-10-18
Om 27 dagar"
Marknadsundersökningstjänster,Stockholms universitet,2019-09-18,"2019-10-18
Om 27 dagar"
"Ramavtal Årsentreprenörer Skövde, Mark",Fortifikationsverket,2019-09-18,"2019-10-10
Om 19 dagar"
"Ramavtal Årsentreprenörer Karlsborg, Markarbeten",Fortifikationsverket,2019-09-18,"2019-10-10
Om 19 dagar"
Golvservice Höörs Fastighetsaktiebolag,Höörs Fastighetsaktiebolag,2019-09-18,"2019-10-18
Om 27 dagar"
"Ramavtal Årsentreprenörer Skövde, Byggnadsarbeten",Fortifikationsverket,2019-09-18,"2019-10-10
Om 19 dagar"
"Ramavtal Årsentreprenörer Karlsborg, Bygg",Fortifikationsverket,2019-09-18,"2019-10-10
Om 19 dagar"
"Ramavtal Årsentreprenörer Remmene, Markarbeten",Fortifikationsverket,2019-09-18,"2019-10-10
Om 19 dagar"
Sentinel,Karolinska Universitetssjukhuset,2019-09-17,
Intervjuundersökning avseende nationella godstransportstrategin,Trafikanalys,2019-09-17,"2019-10-14
Om 23 dagar"
Tillgänglighetsåtgärder etapp 3,Skolfastigheter i Stockholm AB (SISAB),2019-09-17,"2019-10-07
Om 16 dagar"
Badbrygga Borstahusen,Landskrona Stad,2019-09-17,"2019-10-08
Om 17 dagar"
Upphandling av SaaS-tjänst för barn- och elevadministrativt system inkl schema,Uddevalla kommun,2019-09-17,"2019-10-21
Om 30 dagar"
2019 Blåsvolymmätare Region Norrbotten,Region Norrbotten,2019-09-17,"2019-10-17
Om 26 dagar"
Solelanläggningar,Varberg Energi Aktiebolag,2019-09-17,"2019-09-27
Om 6 dagar"
Upphandling av Inkassotjänster samt olovlig andrahand,Huge Bostäder AB,2019-09-17,"2019-10-17
Om 26 dagar"
Projekttävling; Sol- och regnskydd vid restaurangbyggnaden Byttan i Kalmar stadspark,Kalmar kommun,2019-09-17,"2019-09-29 23:59
Om 8 dagar"
Vinterväghållning byarna utom Glumslöv,Landskrona Stad,2019-09-17,"2019-10-07
Om 16 dagar"
Upphandling avseende städentreprenad 2019,Sankt Kors Fastighetsaktiebolag,2019-09-17,"2019-10-17
Om 26 dagar"
"Nockeby Torget 2:22, Anläggningsentreprenad NY","Stockholms stad, Exploateringskontoret",2019-09-17,"2019-10-01
Om 10 dagar"
Nr 2 Mat transporter mellan Hemgården och Lundagården,Hultsfreds kommun,2019-09-17,"2019-10-08 23:59
Om 17 dagar"
Upphandling av entreprenad till Stockholms Östra och Tekniska högskolan,"Stockholms läns landsting, Trafiknämnden",2019-09-17,"2019-10-17
Om 26 dagar"
Direktupphandling av blandbäddsmassa till Sandviksverket,Växjö Energi Aktiebolag,2019-09-17,"2019-09-27
Om 6 dagar"
Miljökonsult sanering Trelleborgs gamla gasverkstomt,Trelleborgs kommun,2019-09-17,"2019-10-15
Om 24 dagar"
Upphandling av reklambyrå tjänster,Ljungby kommun,2019-09-17,"2019-10-17
Om 26 dagar"
Tak och takrenoveringar,HBV,2019-09-17,"2019-10-23
Om 32 dagar"
Sorteringsmaskin för biblioteket,Arvika kommun,2019-09-17,"2019-10-18
Om 27 dagar"
Undersökning av grönytor och parkmark 2019,"Stockholms stad, Miljöförvaltningen",2019-09-17,"2019-10-14
Om 23 dagar"
Upphandling av Om- och nybyggnad Norra begravningsplatsen,Stockholms stads kyrkogårdsförvaltning,2019-09-17,"2019-10-14
Om 23 dagar"
Tandtekniska tjänster,Jönköpings läns landsting,2019-09-17,"2019-10-21
Om 30 dagar"
Live cell imaging system,Chalmers Tekniska Högskola Aktiebolag,2019-09-17,"2019-10-10
Om 19 dagar"
"Rivning Kantarellen 6, Lidköping",Lidköpings kommun,2019-09-17,"2019-10-17
Om 26 dagar"
"UPPHANDLING BYGGSERVICE MÅLNINGSARBETEN RAMAVTAL, GÄLLIVARE KOMMUN & TOP BOSTÄDER AB",Gällivare Kommun,2019-09-17,"2019-10-14
Om 23 dagar"
Hamngatan och Kungsviken totalentreprenad - VA,Tjörns kommun,2019-09-17,"2019-10-17
Om 26 dagar"
Upphandling försäkring,Pajala kommun,2019-09-17,"2019-10-22 23:59
Om 31 dagar"
Örnabäckshult 20:1 Nybyggnad korttidsboende,BOSTADSSTIFTELSEN HYLTEBOSTÄDER,2019-09-17,"2019-10-31
Om 40 dagar"
Upphandling av utvändig ramp och nya WC till Sandsborgs begravningskapell,Stockholms stads kyrkogårdsförvaltning,2019-09-17,"2019-10-08
Om 17 dagar"
Ersättningsetablering läkarvårdsersättning specialitet Allmänpsykiatri heltid,"Region Skåne, Koncerninköp",2019-09-17,"2019-11-14
Om 54 dagar"
"TI 2019-2028 Lek och Hobbymaterial för Södertälje kommun, Salems kommun, Nykvarns kommun och Tom Tits Experiment AB",Telge Inköp AB,2019-09-17,"2019-10-22
Om 31 dagar"
Upphandling av trafikanordningar - Ramavtal,Samhällsbyggnadsförbundet Bergslagen,2019-09-17,"2019-10-14 23:00
Om 23 dagar"
MKB Städ Bellevuegården,MKB Fastighets Aktiebolag,2019-09-17,"2019-10-22
Om 31 dagar"
Ramavtal avseende behandling av restavfall för Österåkers Kommun och Vaxholms Stad,Roslagsvatten AB,2019-09-17,"2019-10-21
Om 30 dagar"
Revisionstjänster,Lidingö kommun,2019-09-17,"2019-10-22
Om 31 dagar"
"Arbetskläder, -skor och personlig skyddsutrustning",Futurum Fastigheter i Örebro AB,2019-09-17,"2019-10-22 23:59
Om 31 dagar"
Kabinettdiskmaskin,Lunds universitet,2019-09-17,"2019-10-18
Om 27 dagar"
Ramavtal för natronlut 50% (bulk),SYSAV Industri AB,2019-09-17,"2019-10-18
Om 27 dagar"
